,stop_id,stop_name,event_name,description,categories,url
0,8014474,Waldshut,Tower,,,https://go.sygic.com/travel/place?id=poi:14692471
1,8014474,Waldshut,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19530662
2,8014558,Singen (Hohentwiel),Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:14152785
3,8014558,Singen (Hohentwiel),Hegau Tower,,,https://go.sygic.com/travel/place?id=poi:20093456
4,8014558,Singen (Hohentwiel),Life Guard Tower,,,https://go.sygic.com/travel/place?id=poi:16702060
5,8014558,Singen (Hohentwiel),Hegau-Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:2598223
6,8014558,Singen (Hohentwiel),Hegau-Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:2598224
7,8014586,Konstanz,Tower,,,https://go.sygic.com/travel/place?id=poi:18764969
8,8014586,Konstanz,Tower,,,https://go.sygic.com/travel/place?id=poi:14920323
9,8014586,Konstanz,Tower,,,https://go.sygic.com/travel/place?id=poi:14920317
10,8014586,Konstanz,Tower,,,https://go.sygic.com/travel/place?id=poi:14925807
11,8014586,Konstanz,Tower,,,https://go.sygic.com/travel/place?id=poi:14922312
12,8014586,Konstanz,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:3061670
13,8500010,Basel SBB,Vitra Slide Tower,"The Vitra Slide Tower is a 30.74 meter high observation tower located in the Vitra Campus in Weil am Rhein, Germany.",['sightseeing'],https://go.sygic.com/travel/place?id=poi:2500092
14,8500010,Basel SBB,Exhibition Tower,"The Basler Messeturm is the third tallest building in Basel, Switzerland. Completed in 2003, it has 32 floors and is 105 m tall. ",['eating'],https://go.sygic.com/travel/place?id=poi:10563
15,8500010,Basel SBB,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19856719
16,8500010,Basel SBB,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:16805890
17,8500010,Basel SBB,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:14397896
18,8500016,Basel St. Johann,Vitra Slide Tower,"The Vitra Slide Tower is a 30.74 meter high observation tower located in the Vitra Campus in Weil am Rhein, Germany.",['sightseeing'],https://go.sygic.com/travel/place?id=poi:2500092
19,8500016,Basel St. Johann,Exhibition Tower,"The Basler Messeturm is the third tallest building in Basel, Switzerland. Completed in 2003, it has 32 floors and is 105 m tall. ",['eating'],https://go.sygic.com/travel/place?id=poi:10563
20,8500016,Basel St. Johann,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19856719
21,8500016,Basel St. Johann,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:14397896
