,stop_id,stop_name,hiking,relaxing,sightseeing,discovering
0,8014474,Waldshut,1,0,0,0
1,8014558,Singen (Hohentwiel),1,0,0,0
2,8014586,Konstanz,1,0,0,0
3,8500010,Basel SBB,3,0,1,0
4,8500016,Basel St. Johann,2,0,1,0
5,8500020,Muttenz,2,0,1,0
6,8500021,Pratteln,1,0,0,0
7,8500022,Frenkendorf-Füllinsdorf,1,0,0,0
8,8500023,Liestal,1,0,0,0
9,8500024,Lausen,1,0,0,0
10,8500025,Itingen,1,0,0,0
11,8500026,Sissach,1,0,0,0
12,8500027,Gelterkinden,1,0,0,0
13,8500028,Tecknau,1,0,0,0
14,8500035,Läufelfingen,2,0,0,0
15,8500105,Moutier,1,0,0,0
16,8500109,Delémont,0,0,0,0
17,8500113,Laufen,1,0,0,0
18,8500114,Zwingen,1,0,0,0
19,8500115,Grellingen,1,0,0,0
20,8500117,Aesch,2,0,0,0
21,8500118,Dornach-Arlesheim,2,0,0,0
22,8500119,Münchenstein,3,0,1,0
23,8500121,Courfaivre,2,0,0,0
24,8500122,Bassecourt,2,0,0,0
25,8500123,Glovelier,2,0,0,0
26,8500125,Courgenay,1,0,0,0
27,8500126,Porrentruy,1,0,0,0
28,8500127,Courtemaîche,0,0,0,0
29,8500128,Boncourt,0,0,0,0
30,8500136,Basel Dreispitz,2,0,1,0
31,8500200,Pieterlen,0,0,0,0
32,8500201,Lengnau,0,0,0,0
33,8500202,Grenchen Süd,0,0,0,0
34,8500203,Bettlach,0,0,1,0
35,8500204,Selzach,1,0,1,0
36,8500205,Bellach,1,0,1,0
37,8500206,Solothurn West,1,0,1,0
38,8500207,Solothurn,1,0,1,0
39,8500208,Luterbach-Attisholz,1,0,1,0
40,8500209,Deitingen,1,0,1,0
41,8500210,Wangen an der Aare,0,0,1,0
42,8500211,Niederbipp,0,0,0,0
43,8500212,Oensingen,0,0,0,0
44,8500213,Oberbuchsiten,0,0,0,0
45,8500214,Egerkingen,1,0,0,0
46,8500215,Hägendorf,1,0,0,0
47,8500216,Wangen bei Olten,1,0,0,0
48,8500217,Olten Hammer,1,0,0,0
49,8500218,Olten,1,0,0,0
50,8500300,Kaiseraugst,1,0,0,0
51,8500301,Rheinfelden,1,0,0,0
52,8500302,Möhlin,2,0,0,0
53,8500303,Mumpf,1,0,0,0
54,8500304,Eiken,1,0,0,0
55,8500305,Frick,1,0,0,0
56,8500309,Brugg AG,0,0,0,0
57,8500313,Rheinfelden Augarten,1,0,0,0
58,8500320,Stein-Säckingen,1,0,0,0
59,8500329,Koblenz,1,0,0,0
60,8501000,Zimeysa,1,0,2,0
61,8501001,La Plaine,1,0,0,0
62,8501002,Russin,1,0,1,0
63,8501003,Satigny,1,0,1,0
64,8501006,Meyrin,2,0,2,0
65,8501007,Vernier,2,0,2,0
66,8501008,Genève,2,0,2,0
67,8501012,Creux-de-Genthod,2,0,1,0
68,8501014,Mies,1,0,0,0
69,8501020,Chambésy,2,0,1,0
70,8501022,Versoix,2,0,1,0
71,8501023,Coppet,1,0,0,0
72,8501026,Genève-Aéroport,2,0,1,0
73,8501030,Nyon,0,0,0,0
74,8501031,Gland,0,0,0,0
75,8501033,Rolle,0,0,0,0
76,8501035,Allaman,0,0,0,0
77,8501036,St-Prex,0,0,0,0
78,8501037,Morges,0,0,0,0
79,8501042,Etoy,0,0,0,0
80,8501045,Denges-Echandens,2,0,2,0
81,8501047,Morges-St-Jean,1,0,1,0
82,8501048,Lonay-Préverenges,2,0,2,0
83,8501103,Vallorbe,0,0,0,0
84,8501104,Le Day,0,0,0,0
85,8501105,Bretonnières,0,0,0,0
86,8501106,Croy-Romainmôtier,1,0,0,0
87,8501107,Arnex,1,0,0,0
88,8501108,La Sarraz,1,0,0,0
89,8501110,Ependes,2,0,0,0
90,8501111,Essert-Pittet,1,0,0,0
91,8501112,Chavornay,1,0,0,0
92,8501113,Bavois,1,0,0,0
93,8501114,Eclépens,1,0,0,0
94,8501115,Cossonay-Penthalaz,0,0,0,0
95,8501116,Vufflens-la-Ville,2,0,2,0
96,8501117,Bussigny,2,0,2,0
97,8501118,Renens VD,3,0,2,0
98,8501120,Lausanne,3,0,2,0
99,8501121,Pully,3,0,2,0
100,8501122,Lutry,3,0,2,0
101,8501123,Villette VD,3,0,2,0
102,8501124,Cully,3,0,2,0
103,8501125,Epesses,3,0,2,0
104,8501126,Rivaz,0,0,0,0
105,8501127,St-Saphorin,0,0,0,0
106,8501200,Vevey,0,0,0,0
107,8501201,La Tour-de-Peilz,0,0,0,0
108,8501202,Burier,0,0,0,0
109,8501203,Clarens,0,0,0,0
110,8501300,Montreux,0,0,0,0
111,8501301,Territet,0,0,0,0
112,8501302,Veytaux-Chillon,0,0,0,0
113,8501303,Villeneuve,0,0,0,0
114,8501304,Roche VD,0,0,0,0
115,8501400,Aigle,0,0,0,0
116,8501402,Bex,0,0,0,0
117,8501403,St-Maurice,0,0,0,0
118,8501404,Evionnaz,0,0,0,0
119,8501405,Vernayaz,0,0,0,0
120,8501426,Bouveret,0,0,0,0
121,8501500,Martigny,0,0,0,0
122,8501501,Charrat-Fully,0,0,0,0
123,8501502,Saxon,0,0,0,0
124,8501503,Riddes,0,0,0,0
125,8501505,Ardon,0,0,0,0
126,8501506,Sion,0,0,0,0
127,8501507,St-Léonard,0,0,0,0
128,8501509,Sierre/Siders,0,0,0,0
129,8501510,Châteauneuf-Conthey,0,0,0,0
130,8501600,Salgesch,0,0,0,0
131,8501601,Leuk,0,0,0,0
132,8501602,Turtmann,0,0,0,0
133,8501603,Gampel-Steg,0,0,0,0
134,8501604,Raron,0,0,0,0
135,8501605,Visp,0,0,0,0
136,8501609,Brig,0,0,0,0
137,8502000,Aarburg-Oftringen,1,0,0,0
138,8502001,Zofingen,1,0,0,0
139,8502002,Brittnau-Wikon,1,0,0,0
140,8502003,Reiden,1,0,0,0
141,8502004,Dagmersellen,3,0,1,0
142,8502005,Nebikon,3,0,1,0
143,8502006,Wauwil,3,0,1,0
144,8502007,Sursee,4,0,1,0
145,8502008,Nottwil,2,0,0,0
146,8502009,Sempach-Neuenkirch,1,0,0,0
147,8502010,St. Erhard-Knutwil,3,0,1,0
148,8502011,Oberkirch LU,4,0,1,0
149,8502012,Rothenburg Dorf,0,0,0,0
150,8502017,Waldibrücke,0,0,0,0
151,8502020,Rothenburg,0,0,0,0
152,8502021,Emmenbrücke,0,0,0,0
153,8502022,Eschenbach,1,0,0,0
154,8502023,Ballwil,1,0,0,0
155,8502024,Hochdorf,1,0,0,0
156,8502025,Baldegg,1,0,0,0
157,8502027,Hitzkirch,1,0,0,0
158,8502028,Emmenbrücke Gersag,0,0,0,0
159,8502030,Seon,0,0,0,0
160,8502033,Birrwil,0,0,0,0
161,8502034,Beinwil am See,1,0,0,0
162,8502100,Safenwil,1,0,0,0
163,8502103,Suhr,0,0,0,0
164,8502104,Hunzenschwil,0,0,0,0
165,8502105,Othmarsingen,0,0,0,0
166,8502106,Mägenwil,0,0,0,0
167,8502110,Dulliken,1,0,0,0
168,8502111,Däniken,1,0,0,0
169,8502112,Schönenwerd SO,1,0,0,0
170,8502113,Aarau,0,0,0,0
171,8502114,Rupperswil,0,0,0,0
172,8502115,Wildegg,0,0,0,0
173,8502116,Schinznach Bad,0,0,0,0
174,8502119,Lenzburg,0,0,0,0
175,8502128,Holderbank AG,0,0,0,0
176,8502200,Ebikon,0,0,0,0
177,8502201,Gisikon-Root,0,0,0,0
178,8502202,Rotkreuz,0,0,0,0
179,8502203,Cham,0,0,0,0
180,8502204,Zug,0,0,0,0
181,8502205,Walchwil,0,0,0,0
182,8502206,Baar,0,0,0,0
183,8502208,Horgen Oberdorf,0,0,0,0
184,8502209,Oberrieden Dorf,0,0,0,0
185,8502211,Hendschiken,0,0,0,0
186,8502212,Dottikon-Dintikon,0,0,0,0
187,8502213,Wohlen AG,0,0,0,0
188,8502214,Boswil-Bünzen,0,0,0,0
189,8502215,Muri AG,0,0,0,0
190,8502216,Benzenschwil,0,0,0,0
191,8502217,Mühlau,0,0,0,0
192,8502218,Sins,0,0,0,0
193,8502219,Oberrüti,0,0,0,0
194,8502220,Urdorf,0,0,0,0
195,8502221,Birmensdorf ZH,0,0,0,0
196,8502222,Bonstetten-Wettswil,0,0,0,0
197,8502223,Hedingen,0,0,0,0
198,8502224,Affoltern am Albis,0,0,0,0
199,8502226,Knonau,0,0,0,0
200,8502227,Steinhausen,0,0,0,0
201,8502229,Urdorf Weihermatt,0,0,0,0
202,8502230,Zug Chollermüli,0,0,0,0
203,8502231,Zug Oberwil,0,0,0,0
204,8502237,Lupfig,0,0,0,0
205,8502247,Birr,0,0,0,0
206,8502306,Hünenberg Chämleten,0,0,0,0
207,8503000,Zürich HB,0,0,0,0
208,8503001,Zürich Altstetten,0,0,0,0
209,8503003,Zürich Stadelhofen,0,0,0,0
210,8503004,Zürich Tiefenbrunnen,1,0,0,0
211,8503006,Zürich Oerlikon,0,0,0,0
212,8503007,Zürich Seebach,0,0,0,0
213,8503008,Zürich Affoltern,0,0,0,0
214,8503009,Zürich Wollishofen,0,0,0,0
215,8503010,Zürich Enge,0,0,0,0
216,8503011,Zürich Wiedikon,0,0,0,0
217,8503015,Zürich Wipkingen,0,0,0,0
218,8503016,Zürich Flughafen,0,0,0,0
219,8503020,Zürich Hardbrücke,0,0,0,0
220,8503100,Zollikon,1,0,0,0
221,8503101,Küsnacht ZH,1,0,0,0
222,8503102,Erlenbach ZH,1,0,0,0
223,8503103,Herrliberg-Feldmeilen,0,0,0,0
224,8503104,Meilen,0,0,0,0
225,8503105,Uetikon,1,0,0,0
226,8503107,Stäfa,1,0,0,0
227,8503108,Uerikon,2,0,0,0
228,8503109,Feldbach,3,0,0,0
229,8503110,Rapperswil,3,0,0,0
230,8503111,Winkel am Zürichsee,1,0,0,0
231,8503115,Schmerikon,2,0,0,0
232,8503116,Uznach,1,0,0,0
233,8503120,Jona,3,0,0,0
234,8503121,Rüti ZH,3,0,0,0
235,8503122,Bubikon,3,0,0,0
236,8503123,Wetzikon,2,0,0,0
237,8503124,Aathal,1,0,0,0
238,8503125,Uster,1,0,0,0
239,8503126,Nänikon-Greifensee,1,0,0,0
240,8503127,Schwerzenbach ZH,1,0,0,0
241,8503128,Dübendorf,1,0,0,0
242,8503129,Wallisellen,1,0,0,0
243,8503130,Hinwil,2,0,0,0
244,8503134,Bauma,1,0,0,0
245,8503136,Fischenthal,1,0,0,0
246,8503138,Wald,2,0,0,0
247,8503139,Tann-Dürnten,3,0,0,0
248,8503141,Küsnacht Goldbach,1,0,0,0
249,8503147,Stettbach,1,0,0,0
250,8503200,Kilchberg,0,0,0,0
251,8503201,Rüschlikon,0,0,0,0
252,8503202,Thalwil,0,0,0,0
253,8503203,Oberrieden,0,0,0,0
254,8503204,Horgen,0,0,0,0
255,8503205,Au ZH,0,0,0,0
256,8503206,Wädenswil,1,0,0,0
257,8503207,Richterswil,1,0,0,0
258,8503208,Bäch,2,0,0,0
259,8503209,Pfäffikon SZ,2,0,0,0
260,8503210,Freienbach SBB,2,0,0,0
261,8503211,Altendorf,2,0,0,0
262,8503220,Lachen,2,0,0,0
263,8503221,Siebnen-Wangen,2,0,0,0
264,8503222,Schübelbach-Buttikon,1,0,0,0
265,8503223,Reichenburg,0,0,0,0
266,8503224,Bilten,0,0,0,0
